grad,board_index,board_number,board_line,full_rows,full_cols,active_rows,active_cols,start_soft_locked,solved,beam_move_count,cleaned_move_count,elapsed_seconds,beam_moves,cleaned_moves
17,53,54,65945,8,8,8,8,False,True,56,56,125.70,RRRLLDDRULULULDDDDDDRRRLLLLURUUUURRURRDLLLULDDDDDLDRRRDR,RRRLLDDRULULULDDDDDDRRRLLLLURUUUURRURRDLLLULDDDDDLDRRRDR
17,54,55,65955,8,8,8,8,False,True,50,50,113.50,LRURRDDDDDDLLUDRRULLULUUUDDDRDDLUUUUDDDRRRUUUUULLD,LRURRDDDDDDLLUDRRULLULUUUDDDRDDLUUUUDDDRRRUUUUULLD
17,55,56,65965,8,8,6,6,False,True,9,9,0.04,RLDDRUULU,RLDDRUULU
17,56,57,65975,8,8,7,7,False,True,54,54,22.88,DRDRURUULULULLDLDDRLUURDUURRDLULDRRRDRDDLUURULLLLULDDD,DRDRURUULULULLDLDDRLUURDUURRDLULDRRRDRDDLUURULLLLULDDD
17,57,58,65985,8,8,7,7,False,True,29,29,5.02,UULRDRDLLULDDDRRRRRUULLLLULDD,UULRDRDLLULDDDRRRRRUULLLLULDD
17,58,59,65995,8,8,7,7,False,True,39,39,3.77,UURRDRDDUULULLDDLDDRRURUUDDLDLLUURURRDR,UURRDRDDUULULLDDLDDRRURUUDDLDLLUURURRDR
17,59,60,66005,8,8,8,8,False,True,31,31,37.42,DDRDLULLLLDDLDDRDRRUURRUURULLLL,DDRDLULLLLDDLDDRDRRUURRUURULLLL
17,60,61,66015,8,8,8,8,False,True,86,86,54.81,RDDRDDLLLLLLUURRUULUURURLDLDDRUUDDRLDDLLDDRULURDDRRRRRUULUURDDDUUUULDLLLULLDRRRRRURDLD,RDDRDDLLLLLLUURRUULUURURLDLDDRUUDDRLDDLLDDRULURDDRRRRRUULUURDDDUUUULDLLLULLDRRRRRURDLD
17,61,62,66025,8,8,6,6,False,True,7,7,0.03,DRURULU,DRURULU
17,62,63,66035,8,8,7,7,False,True,29,29,22.63,UURDLDRRRURLLLULUURDDLDRRRDRU,UURDLDRRRURLLLULUURDDLDRRRDRU
17,63,64,66045,8,8,7,7,False,True,19,19,4.80,RLLLULUURDDLDRRRDRU,RLLLULUURDDLDRRRDRU
17,64,65,66055,8,8,7,7,False,True,30,30,2.48,LLLLLDDRULURLDDDDDRRULDLUUUURU,LLLLLDDRULURLDDDDDRRULDLUUUURU
17,65,66,66065,8,8,8,8,False,False,0,0,>350,TIMEOUT,
17,66,67,66075,8,8,8,8,False,False,0,0,>350,TIMEOUT,
17,67,68,66085,8,8,8,8,False,True,73,73,184.88,RRURLDDRDRRULLLUURRDLDDRRULULLLLDLDDDRDRRDRRULULRDRRULUUUULLDRURDDDDRDLDL,RRURLDDRDRRULLLUURRDLDDRRULULLLLDLDDDRDRRDRRULULRDRRULUUUULLDRURDDDDRDLDL
17,68,69,66095,8,8,7,7,False,True,47,47,13.19,RRRRRUULLLLRRUULLDDDLDRRRRURULLLULLDDRULURDRURU,RRRRRUULLLLRRUULLDDDLDRRRRURULLLULLDDRULURDRURU
17,69,70,66105,8,8,7,7,False,True,24,24,1.39,DRRLULLUUUURRRDDRRUULLDL,DRRLULLUUUURRRDDRRUULLDL
17,70,71,66115,8,8,7,7,False,True,35,35,43.26,URRDLDLRUULDLDDDRRURDLUUULLDRURDDRD,URRDLDLRUULDLDDDRRURDLUUULLDRURDDRD
17,71,72,66125,8,8,7,7,False,True,31,31,0.52,DRDDLDLLLULUUUDRRRURRDLLLLULDRD,DRDDLDLLLULUUUDRRRURRDLLLLULDRD
17,72,73,66135,8,8,8,8,True,True,18,18,1.85,LLULDRRRULLDLUUURU,LLULDRRRULLDLUUURU
17,73,74,66145,8,8,8,8,False,True,58,58,54.21,DRDULLUDDLDDRUUURUULRDDRDLRRRURUDDLLLLLRUUURRRDDRDLLLLULDD,DRDULLUDDLDDRUUURUULRDDRDLRRRURUDDLLLLLRUUURRRDDRDLLLLULDD
17,74,75,66155,8,8,6,6,False,True,9,9,0.02,LDRRLUURR,LDRRLUURR
17,75,76,66165,8,8,7,7,False,True,33,33,36.82,RDDLDULLUULURLLDDDRRRLUUURRDRDDDL,RDDLDULLUULURLLDDDRRRLUUURRDRDDDL
17,76,77,66175,8,8,7,7,False,True,19,19,18.47,DDDLLLULRDLRRDLDLUU,DDDLLLULRDLRRDLDLUU
17,77,78,66185,8,8,7,7,False,True,33,33,35.12,URUUULLLLDLDDDDRRULDLUUUDDRRRUUUL,URUUULLLLDLDDDDRRULDLUUUDDRRRUUUL
17,78,79,66195,8,8,8,8,False,False,110,100,112.64,DDLDDRRRRRRRUULLLDURRRUUUUDDDDLLLLRRRRDDLUDLLUURRDRUUDLLLLLLUULUUURRRRRRDRDLRDDDLDDRUUUUDDLLLLLLUUULUURRRRRRDD,DDLDDRRRRRRRUULLLDURRRUUUUDDDDLLLLRRRRDDLUDLLUURRDRUUDLLLLLLUULUUURRRRRRDRDLRDDDLDDRUUUUDDLLLLLLUUUL
17,79,80,66205,8,8,6,6,False,True,22,22,0.03,DLLURUULDDRDRRULDLUULU,DLLURUULDDRDRRULDLUULU
17,80,81,66215,8,8,7,7,False,True,35,35,46.89,DRDRRULLLLUDRRDDLDRLLLURRDRUURULLUL,DRDRRULLLLUDRRDDLDRLLLURRDRUURULLUL
17,81,82,66225,8,8,7,7,False,True,20,20,1.02,DDLLLUULLDRURDLDRRDR,DDLLLUULLDRURDLDRRDR
17,82,83,66235,8,8,7,7,False,True,27,27,13.39,LDDRURURRDLLLDLDDRUULURRRUR,LDDRURURRDLLLDLDDRUULURRRUR
17,83,84,66245,8,8,8,8,False,True,59,59,157.25,UUUULLLLDUURLULULDLDDDRDDUULUUURRRDDDDDLLUURDRUUUDDLLLUUURR,UUUULLLLDUURLULULDLDDDRDDUULUUURRRDDDDDLLUURDRUUUDDLLLUUURR
17,84,85,66255,8,8,8,8,False,False,130,100,106.63,LURURRRRDRRDDLDURUULLULLLLDLDDRRRLLLDDDRDRRRRRLURLDLLLLULUUURUUURRRRDRRDDLUDDDDLDLLLLUUUURRDRRLLULLLUURURRRRDRDDDDULLLULLDDDDRRRRU,LURURRRRDRRDDLDURUULLULLLLDLDDRRRLLLDDDRDRRRRRLURLDLLLLULUUURUUURRRRDRRDDLUDDDDLDLLLLUUUURRDRRLLULLL
17,85,86,66265,8,8,6,6,False,True,18,18,0.18,URRDDUULLDDRDRUULU,URRDDUULLDDRDRUULU
17,86,87,66275,8,8,7,7,False,True,21,21,8.32,LRRRUDDDRDLLLUULURRUR,LRRRUDDDRDLLLUULURRUR
17,87,88,66285,8,8,7,7,False,True,63,63,67.42,DDDRRUUURRLLDDDLLDDRRRLLLUURRUUURRDRDDLLDRURUULDRDLUUULLDRURDDD,DDDRRUUURRLLDDDLLDDRRRLLLUURRUUURRDRDDLLDRURUULDRDLUUULLDRURDDD
17,88,89,66295,8,8,7,7,False,True,22,22,0.38,RRRUUUUULLDRURDDDLURUL,RRRUUUUULLDRURDDDLURUL
17,89,90,66305,8,8,8,8,False,True,34,34,40.85,RURUUULULUULLDDUURRDDLLUURDLDRRURD,RURUUULULUULLDDUURRDDLLUURDLDRRURD
17,90,91,66315,8,8,7,6,False,True,12,12,0.08,RRULRUULDDRD,RRULRUULDDRD
17,91,92,66325,8,8,7,7,False,True,14,14,0.21,UUULDLRRDDLLUL,UUULDLRRDDLLUL
17,92,93,66335,8,8,7,8,False,True,22,22,7.22,DLDDLDDRURRDUURRDDLLLL,DLDDLDDRURRDUURRDDLLLL
17,93,94,66345,8,8,7,7,False,True,28,28,8.56,UDRRRDDDLLUURULDDLLDLUUUURUR,UDRRRDDDLLUURULDDLLDLUUUURUR
17,94,95,66355,8,8,7,7,False,True,17,17,0.74,RRRRLLUURRDRDLLUL,RRRRLLUURRDRDLLUL
17,95,96,66365,8,8,7,7,False,True,26,26,41.39,LDDRRURRDDLUDRDDLUURULLLDL,LDDRRURRDDLUDRDDLUURULLLDL
17,96,97,66375,8,8,7,7,False,True,22,22,15.54,RRUULLLRRRRUULDRDLLLDL,RRUULLLRRRRUULDRDLLLDL
17,97,98,66385,8,8,8,8,False,False,0,0,>350,TIMEOUT,
17,98,99,66395,8,8,7,7,False,True,14,14,0.49,LLDDRDDUULLDRR,LLDDRDDUULLDRR
17,99,100,66405,8,8,7,7,False,True,36,36,73.40,UULULUURRLLDDRURURRLDLLDDRDDLUUULURR,UULULUURRLLDDRURURRLDLLDDRDDLUUULURR
17,100,101,66415,8,8,7,7,False,True,21,21,34.01,LUUURLDDDDLLURDRUUURU,LUUURLDDDDLLURDRUUURU
17,101,102,66425,8,8,8,8,False,True,55,55,152.24,URRLULDDDDRRDDRRRLLURULLULLDRURDRDDLUDLUUDRRULLDLUUUURU,URRLULDDDDRRDDRRRLLURULLULLDRURDRDDLUDLUUDRRULLDLUUUURU
17,102,103,66435,8,8,8,8,False,True,51,51,145.52,URURUUURURRDRLLDLULDLLURRRRDRDDDDURRDLULUUULUURDDDD,URURUUURURRDRLLDLULDLLURRRRDRDDDDURRDLULUUULUURDDDD
17,103,104,66445,8,8,6,7,False,True,21,21,6.05,ULLDRDULLDDRULURDRURU,ULLDRDULLDDRULURDRURU
17,104,105,66455,8,8,7,7,False,True,14,14,1.37,RRULUURLLURURR,RRULUURLLURURR
17,105,106,66465,8,8,7,7,False,True,20,20,19.60,URDRRULUURRDRDLLDLUU,URDRRULUURRDRDLLDLUU
17,106,107,66475,8,8,7,7,False,True,27,27,39.54,UUUDRDRRUULLRRRRUULDRDLLLDL,UUUDRDRRUULLRRRRUULDRDLLLDL
17,107,108,66485,8,8,8,8,False,True,40,40,75.49,URULUULLLLLDLDRDRDLUUUURRRUULDRDLLULDDDD,URULUULLLLLDLDRDRDLUUUURRRUULDRDLLULDDDD
17,108,109,66495,8,8,8,8,False,False,166,100,324.47,DLDRUULLLDDLLRURDRURRUUURUULDLDDRULURLLULRRULRRDLDDRDDDLUUURULUURDDDDLDDRDLUUURDLDLLURDRUDDRULUURDLDDLRRUUUUULDUUURDDDLDDLLDLDRRUURRDLLDRLLLURURRRUURULULDDDDLDURRDLLL,DLDRUULLLDDLLRURDRURRUUURUULDLDDRULURLLULRRULRRDLDDRDDDLUUURULUURDDDDLDDRDLUUURDLDLLURDRUDDRULUURDLD
17,109,110,66505,8,8,6,6,False,True,8,8,0.03,LDRRULLU,LDRRULLU
17,110,111,66515,8,8,7,7,False,True,28,28,17.75,UULLDRDRDDLUUULULLDRRURDDDRD,UULLDRDRDDLUUULULLDRRURDDDRD
17,111,112,66525,8,8,7,7,False,True,41,41,79.01,DDDDUUUULLLLRDDLDDRDRULLUURURRDRDDLLLDLUU,DDDDUUUULLLLRDDLDDRDRULLUURURRDRDDLLLDLUU
17,112,113,66535,8,8,7,7,True,False,0,0,>350,TIMEOUT,
17,113,114,66545,8,8,8,8,False,True,19,19,6.85,LDLDLLLDRDDLUULURRR,LDLDLLLDRDDLUULURRR
17,114,115,66555,8,8,8,8,False,False,148,100,236.74,URRDRDLLRRRRDDDLLDDLLLUDRRURURRUUURUULDLDDRDRUUULLDLLUULLDRURDRDRRULLLULLDRDRRULDRRDRDDLUURRUDLDDLLDDRUURUULULURDDDRRDLLURURULLDDDDLLDLLURRRDRUUUURU,URRDRDLLRRRRDDDLLDDLLLUDRRURURRUUURUULDLDDRDRUUULLDLLUULLDRURDRDRRULLLULLDRDRRULDRRDRDDLUURRUDLDDLLD
17,115,116,66565,8,8,7,7,False,True,12,12,0.12,LDLLRRUULLDD,LDLLRRUULLDD
17,116,117,66575,8,8,7,7,False,True,25,25,25.29,LLUULLULUURRDLRURRDLLULDD,LLUULLULUURRDLRURRDLLULDD
17,117,118,66585,8,8,7,7,False,True,28,28,1.72,LURRURRUULULLDRLLDDDRRUURULL,LURRURRUULULLDRLLDDDRRUURULL
17,118,119,66595,8,8,7,7,False,True,39,39,74.27,LRUURDUURRDLDUURUULDDLDLLDURRURRDLLLDLU,LRUURDUURRDLDUURUULDDLDLLDURRURRDLLLDLU
17,119,120,66605,8,8,8,8,False,True,55,55,155.06,DDLDUULLDLUDDDDDLLLURRLLUURDURRDDDLLLURRDRUUUULURRRURDD,DDLDUULLDLUDDDDDLLLURRLLUURDURRDDDLLLURRDRUUUULURRRURDD
17,120,121,66615,8,8,8,8,False,True,40,40,94.84,LURULRURUUUDLDLULLUULLDRDRRRDRDDLUURULLL,LURULRURUUUDLDLULLUULLDRDRRRDRDDLUURULLL
17,121,122,66625,8,8,6,7,False,True,11,11,0.61,UUDDLLULURR,UUDDLLULURR
17,122,123,66635,8,8,7,7,False,True,14,14,1.70,ULLDLDLRDDLURU,ULLDLDLRDDLURU
17,123,124,66645,8,8,7,7,False,True,18,18,9.47,UULULRURDRDLDLUULU,UULULRURDRDLDLUULU
17,124,125,66655,8,8,7,7,False,True,28,28,7.19,DDRRLLUURULURDDDLDLLURRDRUUU,DDRRLLUURULURDDDLDLLURRDRUUU
17,125,126,66665,8,8,8,8,False,True,30,30,77.29,DRRDDLDURRDDRRDULLLULLDRRRRDRU,DRRDDLDURRDDRRDULLLULLDRRRRDRU
17,126,127,66675,8,8,8,8,False,True,83,83,106.18,RRURRURDRUURUUULLDDDURDRUUDLLUURULRDDLDDRDDLLLLUULDDRRRRRULUUURRDLULDDDRDLLLLDLUURU,RRURRURDRUURUUULLDDDURDRUUDLLUURULRDDLDDRDDLLLLUULDDRRRRRULUUURRDLULDDDRDLLLLDLUURU
17,127,128,66685,8,8,6,6,False,True,6,6,0.02,LDRRUR,LDRRUR
17,128,129,66695,8,8,7,7,False,True,22,22,24.91,LLULLUUURURRDDDURDDLLL,LLULLUUURURRDDDURDDLLL
17,129,130,66705,8,8,7,7,False,True,21,21,25.86,UUURRURRLLDDDRRUURULL,UUURRURRLLDDDRRUURULL
17,130,131,66715,8,8,7,7,False,True,20,20,19.51,LLLURLLUURLDDRUULURR,LLLURLLUURLDDRUULURR
17,131,132,66725,8,8,8,8,False,True,44,44,127.46,RULRRDRRULLLUURUULLRDRUURRDLLLDRDLDDRUUULURR,RULRRDRRULLLUURUULLRDRUURRDLLLDRDLDDRUUULURR
17,132,133,66735,8,8,8,8,False,True,68,68,197.06,RRDULLDRDDRDLDLDRRLLLLUUUULDRDDLDUULURURDDDRDRRUURDDLLLULLDRRRRDRUUU,RRDULLDRDDRDLDLDRRLLLLUUUULDRDDLDUULURURDDDRDRRUURDDLLLULLDRRRRDRUUU
17,133,134,66745,8,8,7,6,False,True,39,39,2.21,LRULUULUURDDDUUURRDLRDLLDDRUURUULLDDDRD,LRULUULUURDDDUUURRDLRDLLDDRUURUULLDDDRD
17,134,135,66755,8,8,7,7,False,True,30,30,43.09,RDULLLLUUURRLLDDRLUURDDLDRRRDR,RDULLLLUUURRLLDDRLUURDDLDRRRDR
17,135,136,66765,8,8,7,7,False,True,21,21,4.62,UURDRRULRUULDDRDLLLUL,UURDRRULRUULDDRDLLLUL
17,136,137,66775,8,8,7,7,False,True,31,31,29.94,RDRRULLDLDLDLDDRUDRRULUULURRRUR,RDRRULLDLDLDLDDRUDRRULUULURRRUR
17,137,138,66785,8,8,8,8,False,False,0,0,>350,TIMEOUT,
17,138,139,66795,8,8,8,8,False,True,27,27,59.39,LLLUUUDDDDDLDRRRULDLUUUUULU,LLLUUUDDDDDLDRRRULDLUUUUULU
17,139,140,66805,8,8,6,6,False,True,10,10,0.07,LLDDRDRULU,LLDDRDRULU
17,140,141,66815,8,8,7,7,False,True,26,26,7.99,ULLDLLURUUUDDDDRRULDLUUULU,ULLDLLURUUUDDDDRRULDLUUULU
17,141,142,66825,8,8,7,7,False,True,17,17,8.51,ULLDLLURLLDDRDRUU,ULLDLLURLLDDRDRUU
17,142,143,66835,8,8,7,7,False,True,31,31,18.46,RUULUURURRRDRDDLULURULLLDRRURDD,RUULUURURRRDRDDLULURULLLDRRURDD
17,143,144,66845,8,8,8,8,False,True,48,48,136.80,RRRURURULULUURDRDLDDRRULDLUUULULLLRRRDRRULLLLDDL,RRRURURULULUURDRDLDDRRULDLUUULULLLRRRDRRULLLLDDL
17,144,145,66855,8,8,8,8,False,True,55,55,157.21,UULDURRUUUULULLLLLDDDRDRRLLULLDRDRRURURULUDRRULULDDDRDL,UULDURRUUUULULLLLLDDDRDRRLLULLDRDRRURURULUDRRULULDDDRDL
