grad,board_index,board_number,weight,solved,status,move_count,elapsed_seconds,moves
17,176,177,0.0,False,timeout,0,350.47,
16,0,1,0.1,True,finished,24,0.01,ULDDRRRUDLLLURRULLDRRRRR
16,2,3,0.1,True,finished,14,0.05,DRRDDLLULURRDR
16,3,4,0.1,True,finished,13,0.04,RLLUURRDRDLUL
16,5,6,0.1,True,finished,22,0.07,RRRUULLRRDDLUDLLUURRDR
16,8,9,0.1,False,timeout,0,350.29,
16,9,10,0.1,True,finished,85,148.11,RURULRDDULLLULLLRRRRRDDDDDDLDLLULLRRRDRRULRUUUUULULLLDRRURDRDDDDDLDLLURRDRUUUUURULLLL
16,11,12,0.1,True,finished,14,0.08,DUURRDDLDLUURU
16,12,13,0.1,True,finished,75,88.93,DURRDDLDURURRLLDLUDDDLDDDRRULULDRRRRDRRURUUULUULLLLDLDDDDUUUURUULDDDDDLDRRR
16,13,14,0.1,False,timeout,0,350.30,
16,16,17,0.1,False,timeout,0,350.28,
16,17,18,0.1,True,finished,44,20.83,RRDRUDLULLRRRDDRDDDLLLULULUULURLULURRDDDDLDR
16,19,20,0.1,True,finished,45,56.27,RRDDDLRURRRUURRDLULDRDLLLULDRDLRDDRDDLLLLUUUR
16,20,21,0.1,True,finished,37,40.20,DRRDRDULDDLLUURULUURURRDLLULDDDDDLDRR
16,22,23,0.1,True,finished,55,78.74,RDRUDRURRRDDLRDDDDLLLLURURRLDLDRRLUUURDLDDRUUUUURULLLDL
16,23,24,0.1,True,finished,19,0.04,DDRLUURRULDLDDRUURU
16,24,25,0.1,True,finished,42,59.72,RRRLDDRRDDDLLUURDLLDLLUDLDURRRRURRDLLLLLDL
16,25,26,0.1,False,timeout,0,350.28,
16,26,27,0.1,True,finished,13,0.23,UURRDLULDDDRD
16,27,28,0.1,True,finished,35,39.60,LURUUDDLLLLLURLULUURDRDDLDRRLDDRURU
16,29,30,0.1,True,finished,77,135.79,UULLUULULDLDURRURDDDLURUURLULULDLLRDDDRDRRRDULLDDLLLLUURRDRULLLDRDRUUUUULURRR
